sid,species,last_state,last_ts_utc
992b6328-02cc-473b-b18f-b7371de08cbf,Ogcocephalus parvus,1,2025-08-11T05:37:22.690279+00:00
7055055c-86c0-44b2-82a1-c6e8b3198dbd,Hapalochlaena fasciata,1,2025-08-11T20:40:58.343940+00:00
d316aa7e-597a-446c-8df2-5bde3d656eb1,Balaenoptera musculus,1,2025-08-12T09:13:28.155324+00:00
d316aa7e-597a-446c-8df2-5bde3d656eb1,Beroe ovata,1,2025-08-12T09:13:54.503538+00:00
d316aa7e-597a-446c-8df2-5bde3d656eb1,Bolinopsis infundibulum,1,2025-08-12T09:14:04.984740+00:00
d316aa7e-597a-446c-8df2-5bde3d656eb1,Clione limacina,1,2025-08-12T09:14:53.045863+00:00
d316aa7e-597a-446c-8df2-5bde3d656eb1,Hermissenda crassicornis,1,2025-08-12T09:15:38.753922+00:00
d316aa7e-597a-446c-8df2-5bde3d656eb1,Pseudoliparis swirei,1,2025-08-12T09:16:24.319761+00:00
d316aa7e-597a-446c-8df2-5bde3d656eb1,Ogcocephalus nasutus,1,2025-08-12T09:16:38.203862+00:00
401fbfab-0605-444b-9dee-56fdc91b44a6,Beroe cucumis,1,2025-08-14T02:17:43.120054+00:00
f96dd92b-c8ea-4248-ab53-8279c04dd502,Ogcocephalus parvus,1,2025-08-16T10:53:06.266753+00:00
8ce2433a-1ee0-447b-a7ee-4967fee3982b,Acanthaster planci,1,2025-08-24T05:22:37.874992+00:00
833bc481-74d5-455c-85a0-970590377c44,Amphiprion ocellaris,1,2025-08-31T19:24:27.786331+00:00
