Genus,Species
Pseudoliparis,swirei
Carcharhinus,leucas
Pinctada,margaritifera
Doryteuthis,pealeii
Homarus,americanus
Octopus,vulgaris
Ciona,intestinalis
Pterois,volitans
Bathypterois,grallator
Sagmariasus,verreauxi
Obelia,dichotoma
Obelia,longissima
Holcomycteronus,profundissimus
Histrio,histrio
Hydrolagus,mitsukurii
Acropora,cervicornis
Echinophyllia,aspera
Galaxea,astreata
Acropora,cerealis
Spongia,officinalis
Cassiopea,xamachana
Corallium,rubrum
Metridium,senile
Halichondria,panicea
Mitsukurina,owstoni
Eudendrium,planum
Hexabranchus,sanguineus
Tergipes,tergipes
Bathypterois,longipes
Macrocystis,pyrifera
Jenkinsia,lamprotaenia
Syringodium,filiforme
Halodule ,wrightii
Thalassia,testudinum
Halodule,uninervis
Engraulis,mordax
Tridacna,noae
Tridacna,maxima
Cavolinia,tridentata
Hermissenda,crassicornis
Sepia,vermiculata
Semibalanus,balanoides
Gigantopelta,aegis
Ligia,oceanica
Homarus,gammarus
Uca,crassipes
Uca,longisignalis
Flustra,foliacea
Iconaster,longimanus
Salpa,fusiformis
Chlorodesmis,fastigiata
Halodule,wrightii
Mesoplodon,densirostris
Mesoplodon,grayi
Mesoplodon,hectori
Mesoplodon,peruvianus
Munida,gregaria
Eudontomyzon,mariae
Ichthyomyzon,bdellium
Lampetra,richardsoni
Cucumaria,miniata
Diadema,savignyi
Phoronis,hippocrepia
Botryllus,schlosseri
Rhycherus,filamentosus
Oikopleura,dioica
Sphyraena,flavicauda
Synchiropus,bartelsi
Chromis,atripectoralis
